Donation ID,Donation date,Donor first name,Donor last name,Donor email,Donor phone number,Gift amount,Currency,Campaign,Fund,Donation type,Payment method,Donation status,Event ID,Event name,Order ID,Source,Created at
78a8ec4b-5d24-493b-9dfe-4a69e9f1ec15,2025-12-12T21:58:16,Heidi,Leon,meganpalmer@example.com,047-057-1265,172.97,USD,Year End Giving,Emergency Fund,recurring,card,completed,480d6f90-42b4-47e1-a3ba-90f388b6cd52,Downtown Re-engineered responsive flexibility,9d3c7b5b-44e3-4f79-83ef-69ca4298c6d1,android,2025-12-12T21:58:16
9c159bbc-ffa4-495d-8553-c55ec3c0117d,2025-11-24T14:45:20,Mikayla,Smith,kguerrero@example.com,473-534-1439,778.19,USD,Scholarship Drive,General Fund,one-time,card,failed,e4a8a7a4-c337-4ce2-bacf-bf1b251defce,Annual Grass-roots didactic collaboration,d1b643ee-8d3a-4e45-80d6-c3e9bceb4f9e,ios,2025-11-24T14:45:20
30bfae97-9cab-4f1b-9c8b-8ae953b862bf,2025-01-16T18:23:25,Rhonda,Cooper,hamiltonsarah@example.net,089-810-7232,16.29,USD,Year End Giving,Education Fund,one-time,paypal,completed,04db5006-a702-4f81-adf1-c8f292ce5a59,Live Networked interactive contingency,943f0971-6509-4ab0-9acd-721929d8f8d3,onsite,2025-01-16T18:23:25
e2494fe9-a144-4045-8ab3-a4688d7366e3,2025-01-12T18:20:47,Wayne,Dunn,nbender@example.org,796-728-0367,43.51,USD,Scholarship Drive,Education Fund,one-time,card,completed,664a8bae-af26-4bdc-91fd-857a379dd84f,Downtown Reactive motivating customer loyalty,16db8647-0e4c-4ec7-ad40-c533b1f5ac8c,web,2025-01-12T18:20:47
b7a05d64-9e08-4c6f-a597-c0c9d6dc9b2d,2025-09-17T05:07:24,Michele,Ortega,stephaniereeves@example.org,413-007-8867,34.75,USD,Community Fundraiser,Education Fund,one-time,paypal,completed,0241ed47-e19a-43fb-af9c-5929d188f9b1,Annual Profit-focused systematic application,1528aad5-e2d2-4338-90ff-f3c4756347f3,web,2025-09-17T05:07:24
be9a45cd-4123-4d1c-a87b-3df822908f95,2025-12-03T07:25:28,Kyle,Andrade,jennifer55@example.net,493-601-6168,13.11,USD,Relief Fund,Emergency Fund,one-time,card,completed,3dbdcbec-e2b5-4811-aa5a-7d001ddb359d,Annual Adaptive exuding forecast,13c64321-6546-4aca-a3c3-5455e3e13edc,web,2025-12-03T07:25:28
efe4e628-7670-40a4-91c6-b7f4d3bfd87d,2026-05-03T17:49:37,Joseph,Jennings,whughes@example.net,926-440-8410,34.07,USD,Year End Giving,General Fund,recurring,card,completed,4184769f-6a91-4dc2-8aac-9497119576de,Downtown Proactive 4thgeneration implementation,16c918dd-6bb1-4523-abff-6103d3487ffa,android,2026-05-03T17:49:37
d807114f-2451-45fe-b546-61e26c05070b,2026-04-17T17:58:48,Caitlin,Roth,wmurphy@example.org,103-801-2192,19.29,USD,Community Fundraiser,Education Fund,one-time,ach,completed,92a51de5-a06a-45d7-968a-1b3bb322b7e5,Annual Diverse even-keeled array,86e0e44f-89de-4626-a516-bea7355c1619,web,2026-04-17T17:58:48
3f7de8fe-5a71-4923-8163-173e5449aca3,2025-02-28T18:57:40,Todd,Robinson,danielgriffith@example.net,414-846-0191,40.95,USD,Year End Giving,General Fund,one-time,card,completed,a8935ec3-5485-4788-a760-818e69399733,Annual Object-based object-oriented neural-net,3ea96fa6-940a-4843-a124-fb86aca20135,email,2025-02-28T18:57:40
dbcb4f49-de42-426c-abfd-c7b108902f9f,2025-10-14T23:56:47,Patrick,Osborne,michaelpierce@example.com,510-640-7078,181.23,USD,Scholarship Drive,General Fund,one-time,card,completed,15314d8f-9756-4616-9ba2-3ea60b97dd58,Live Managed neutral task-force,37ed5d27-e5a5-4201-83ae-50d286f2e3a1,web,2025-10-14T23:56:47
3d45190c-85b7-4994-abcd-ac06e5f4c3f2,2026-06-19T16:46:30,Stephanie,Walker,katherinejones@example.com,003-781-7150,36.67,USD,Year End Giving,General Fund,one-time,card,completed,be1a8076-5467-4127-8d84-792c960413ef,Live Inverse disintermediate groupware,9054b226-4475-4ff2-9704-3ed03ff254d9,ios,2026-06-19T16:46:30
981633ea-749e-4a87-aab7-b54078401924,2026-01-12T09:43:44,Zachary,Moreno,tcampbell@example.com,683-415-5999,13.15,USD,Scholarship Drive,Education Fund,one-time,card,completed,626ed084-aadd-4934-8da5-94e8e6741667,Annual Enhanced content-based customer loyalty,2d6a5a9d-21f6-478d-a8ef-5a907dea0945,onsite,2026-01-12T09:43:44
8f8b2c55-6137-4d1e-977a-d7523d4a9cf5,2026-05-14T04:14:00,Angela,Harris,janet90@example.com,495-266-6457,163.59,USD,Community Fundraiser,Education Fund,one-time,paypal,completed,fdb55c8e-fa1b-4fcb-bf19-736d1a39b8ef,Downtown Cross-platform bi-directional open system,990889fc-0bd0-4704-beac-5ef8beee482b,ios,2026-05-14T04:14:00
1c91d1ce-0623-4a83-9d2b-f9ebbbd128c5,2026-08-09T20:26:29,Sarah,Hughes,dunnjoseph@example.com,122-983-0878,18.79,USD,Year End Giving,General Fund,one-time,card,completed,34f3e2a0-f314-4d3e-a7ba-1c028d62837c,Downtown Operative actuating infrastructure,ba48695b-9091-4ab0-abe8-1654d536734c,web,2026-08-09T20:26:29
f5b10809-6985-4d96-9506-871c17fd9896,2025-10-14T19:27:02,Donna,Durham,jacquelineramsey@example.com,243-871-2951,138.53,USD,Scholarship Drive,Health Fund,one-time,card,completed,6f9f919c-cb0e-49f1-86b6-1f5265e10fb0,Downtown Monitored mobile utilization,503682d8-c572-4fcd-8b5c-72951541713f,onsite,2025-10-14T19:27:02
8f19b50c-487c-46bd-87dc-891efd959c69,2025-10-16T22:04:21,Abigail,Murillo,jacobshort@example.org,407-439-3872,368.92,USD,Scholarship Drive,Emergency Fund,one-time,card,completed,ce5d4381-5541-46d5-8f11-fdb01369b8dd,Live Re-engineered bifurcated flexibility,f7c71bd8-e866-4df8-8f13-47f57838abf2,email,2025-10-16T22:04:21
b63fc099-e374-4236-b4cc-f33038498e48,2026-04-12T19:41:31,Adriana,Bush,susan29@example.org,595-325-0858,17.12,USD,Scholarship Drive,General Fund,one-time,card,failed,66a1abc6-1876-4750-af3f-82c5b35fb9d5,Annual Re-engineered real-time leverage,d271a0ff-9baa-4994-8dbe-10cd32377a5c,web,2026-04-12T19:41:31
43ad7abd-fed5-4efc-b072-9466f933fc30,2025-12-15T17:44:53,Stephanie,Mccoy,martinstephanie@example.com,931-993-8963,20.82,USD,Year End Giving,Education Fund,one-time,card,completed,720e592d-be7d-4fcf-8038-fe038da01638,Downtown Managed reciprocal customer loyalty,b003e14b-c795-460d-aa44-e20bcaf44e64,ios,2025-12-15T17:44:53
b79a4b18-ae2f-47c8-a476-bdf1177818d1,2024-11-08T06:59:46,Heather,Nguyen,bbooker@example.com,606-231-4387,36.72,USD,Scholarship Drive,General Fund,one-time,card,completed,2b51cf31-b7a7-432a-8953-931a058747d9,Annual Down-sized attitude-oriented methodology,ccc22ebf-567a-4795-bcb7-34cff7146bc3,web,2024-11-08T06:59:46
73e3d7e7-d044-4507-8c15-be71f5cddc9c,2026-04-02T19:46:39,Elizabeth,Orr,franklincraig@example.com,331-129-7974,48.41,USD,Relief Fund,Education Fund,recurring,card,completed,9bf1f127-dbfa-4936-a0c0-229fe8aa211e,Live Automated background archive,1caa319b-bae2-464c-8443-8988b6bc3f13,web,2026-04-02T19:46:39
87b76da0-a270-415e-9d3b-8d287370dd4d,2025-07-26T21:39:44,Aaron,Henry,wbond@example.com,362-814-4471,56.47,USD,Year End Giving,Health Fund,recurring,card,completed,26bfa7d0-05e5-41cd-bafc-224265d8de9b,Downtown Innovative cohesive structure,9eea0dc0-c36c-4a44-b9b4-df08274d6519,ios,2025-07-26T21:39:44
6b83ebe1-407e-46ec-9747-63834b426a8e,2025-03-30T01:03:25,Jose,Johnson,evelyn84@example.com,358-448-0127,85.99,USD,Community Fundraiser,Emergency Fund,one-time,card,completed,9d1ee14f-2c09-4320-9011-a5d9aca96a3a,Live Realigned next generation matrices,aa4ecf71-ee61-49df-a4e9-2edc1abae4b2,web,2025-03-30T01:03:25
f0cd3479-7030-4068-a41b-399b8474ea05,2025-08-23T23:34:01,Evan,Brown,moorelisa@example.net,153-537-5927,40.17,USD,Year End Giving,Education Fund,recurring,card,completed,30bf6db5-3667-40ba-86bc-648a336d583c,Downtown Visionary client-server frame,72df1f90-65b5-49fa-86c1-77b3b7ac1a49,onsite,2025-08-23T23:34:01
4c5a954d-6097-44ff-9e0c-fc2f45bf81ca,2026-05-11T02:40:41,Mary,Schneider,rachel05@example.org,780-559-2277,13.17,USD,Scholarship Drive,Health Fund,one-time,card,failed,c3f35942-c23a-4842-b48a-e2de66100938,Annual Customizable solution-oriented projection,ee111472-02e3-4cf6-b0e7-c5e582529e19,web,2026-05-11T02:40:41
46b68252-cc2b-4503-b84c-fbbbcbf15f04,2025-03-08T10:47:38,Jeffrey,Gonzales,kenneth84@example.com,183-185-1753,21.42,USD,Community Fundraiser,Education Fund,one-time,card,completed,a959389f-7633-4eb5-a240-eb17239f4436,Live Synchronized bandwidth-monitored contingency,e33db9bf-f9e0-4995-8683-7e9884a0b791,web,2025-03-08T10:47:38
ffaff465-598f-4f97-83d6-80f189fcb8ba,2025-12-25T13:55:15,Brooke,Montgomery,brooksjames@example.com,451-995-5089,48.51,USD,Relief Fund,Emergency Fund,one-time,card,completed,6a009304-4145-499a-b078-b302ed796a6d,Downtown Sharable interactive initiative,a8b75138-18dc-4df2-be8e-08e1382fad1c,android,2025-12-25T13:55:15
60ec97e5-81d5-4093-842d-98dc5de87b84,2026-08-26T08:38:38,Stephanie,Ward,darlene09@example.net,217-373-3970,45.83,USD,Community Fundraiser,Emergency Fund,one-time,paypal,completed,b091b41d-a9ec-4f80-8a23-c1de31e1a867,Live Right-sized bottom-line utilization,272a8974-8455-4b1d-8c11-e5798724d5d8,web,2026-08-26T08:38:38
edc309f6-83a8-4482-a7b7-451ecf0b3aa4,2026-09-16T02:06:54,William,Sanford,qberg@example.net,226-249-1528,30.99,USD,Community Fundraiser,General Fund,one-time,apple_pay,completed,cb457113-af5a-401b-987f-47c0ae8511be,Annual Phased exuding artificial intelligence,b1c08472-ea44-41fb-8835-551f50772c31,web,2026-09-16T02:06:54
dba6ffab-a5f1-4432-aaf7-6cea800e31c1,2026-10-29T15:25:47,Melissa,King,lisaford@example.com,371-785-0902,130.22,USD,Community Fundraiser,General Fund,one-time,card,completed,4aa52bb3-dd18-461c-a20e-d21cd88ef5d9,Downtown Phased optimizing neural-net,e5e5f2a8-897e-4a9f-8de7-9372206f2127,android,2026-10-29T15:25:47
75e8ea3f-75cf-4b24-a5eb-57f8f6440ef3,2026-02-22T05:30:00,Leslie,Contreras,rushlaurie@example.org,162-206-5910,44.07,USD,Relief Fund,Education Fund,one-time,paypal,completed,9049fbc9-9c78-4a9e-9d04-4336223ea209,Downtown Networked maximized paradigm,40f55975-3e09-46ed-9bc2-93f2f5baa594,web,2026-02-22T05:30:00
21c55b4e-6835-48c1-a033-e2faaeefb5a7,2026-06-11T22:45:17,Kristy,Gonzales,jonathan77@example.com,920-503-1827,42.21,USD,Scholarship Drive,Health Fund,one-time,apple_pay,pending,317a6223-ba6f-47d2-af65-c4a74ea7d772,Annual Switchable national info-mediaries,d6f909ad-ea89-4cd4-b264-a9d296ca2cbd,android,2026-06-11T22:45:17
c05c7fc3-ce43-42da-a41b-0cdbafa6945e,2026-01-30T23:13:36,Brandon,Johnson,hornjeffrey@example.com,306-511-7682,50.16,USD,Relief Fund,Emergency Fund,one-time,apple_pay,completed,b34e9a3c-2d4e-4fa2-b1bd-f0acad3edec7,Downtown Organic contextually-based pricing structure,84d89351-807f-443c-b35d-fbd80f9c6f09,android,2026-01-30T23:13:36
d3528dc7-a5fc-409d-aec9-acdb6b098406,2025-02-24T06:51:46,Amber,Garcia,thomasalyssa@example.com,132-533-2588,29.88,USD,Relief Fund,General Fund,one-time,apple_pay,completed,c80eb602-13ac-40b6-baf2-729b4128a051,Live Proactive 4thgeneration hierarchy,2aa1afb3-bb80-4ad1-9a05-9f392041be78,onsite,2025-02-24T06:51:46
8c5d3912-ea88-4da7-965b-43b00d3f441f,2026-08-20T01:10:07,Jenny,Baxter,dennis76@example.com,284-685-1926,24.43,USD,Year End Giving,Education Fund,one-time,card,completed,9e206ab1-0bfb-450d-94dd-b6dfb2876373,Downtown Realigned reciprocal application,67bf1060-0a03-4caf-94e4-a58d8f58a60e,web,2026-08-20T01:10:07
884b53f0-b1c4-4914-af66-ad248cbe3dcb,2025-03-02T16:41:53,Samuel,Fields,ryandavis@example.org,726-021-3180,29.43,USD,Community Fundraiser,Education Fund,one-time,card,completed,20c4bee3-0e5d-4586-91a7-8e1d337f48c2,Live Fully-configurable heuristic infrastructure,75e0e1a8-555d-44e8-b61c-a8a2f7c6341a,ios,2025-03-02T16:41:53
462165b0-d361-4528-a150-93606dcce610,2026-09-08T19:04:41,Marie,Barrett,patrickterry@example.com,298-778-7358,35.88,USD,Scholarship Drive,General Fund,one-time,paypal,completed,a0b157ca-e0d8-42b2-b084-c193b94032e4,Downtown Pre-emptive bi-directional Internet solution,3d887221-280d-4be2-813e-641c354e17aa,email,2026-09-08T19:04:41
be506510-1dc9-4cbe-9a87-3de1b0481256,2026-08-01T09:22:46,Douglas,Johnson,simmonsjoseph@example.org,775-396-7379,27.58,USD,Scholarship Drive,General Fund,one-time,card,completed,225add4f-fdd6-424c-a44d-3cf4498c1c57,Live Down-sized directional installation,bcff0f44-571d-4c07-9a75-d813dc2f8216,android,2026-08-01T09:22:46
83e3af04-e6d6-436d-9ba4-b94da9bdf415,2025-07-16T11:09:52,Larry,Bailey,christina03@example.com,879-271-8551,38.82,USD,Relief Fund,General Fund,recurring,paypal,completed,61875047-3be3-47b7-9d17-e054b93e2412,Annual Focused dedicated encryption,c647865a-93f2-4115-a4bb-e97cafce6217,ios,2025-07-16T11:09:52
dc4050ca-c781-46ae-b880-d09cfac903af,2025-09-18T22:04:06,Nicole,Martin,madeline40@example.com,467-651-7277,14.1,USD,Year End Giving,Health Fund,one-time,card,completed,347d6fc9-7262-4d59-99fd-1e4134c45ae5,Live Sharable holistic benchmark,c8928eaf-2139-42ed-a966-2951a08d770e,web,2025-09-18T22:04:06
05ca993e-6f3c-4aea-8843-c71408247821,2025-10-04T20:56:39,Anthony,Mclaughlin,jmartin@example.com,254-110-7609,27.07,USD,Relief Fund,Education Fund,one-time,apple_pay,pending,a356e8ba-6c59-4f58-8a12-e15d69433ba6,Downtown Mandatory bi-directional encryption,6b60fc7c-d20b-4415-b5af-098809117957,web,2025-10-04T20:56:39
ba952f70-fcf3-48e4-a2fd-18f6a43d1f68,2025-01-04T15:47:16,William,Taylor,pgordon@example.com,682-458-4851,47.77,USD,Community Fundraiser,Health Fund,one-time,card,completed,68951d06-fc00-403d-8e87-635bf834b60f,Downtown Configurable background Internet solution,c3febd60-f5cb-4c37-9050-1615d2382fdb,android,2025-01-04T15:47:16
46e88dba-5dfd-4265-96bc-ffd5a23db855,2025-09-29T05:16:46,Amy,Moore,david52@example.org,708-650-2136,29.79,USD,Relief Fund,Education Fund,one-time,card,completed,9e4dce90-0e1e-4fe4-9d8e-49729c0060e8,Live Enhanced tangible model,f0471a12-c9ca-47f1-a24a-309144f4b9f5,web,2025-09-29T05:16:46
e8665581-55d6-4d0a-b038-e4d29b9baf81,2026-07-21T21:42:59,Ashley,Cox,shelly94@example.net,246-411-8803,13.25,USD,Relief Fund,Health Fund,one-time,card,completed,10907249-ffd4-4af0-873a-2ff9f6798551,Downtown Balanced foreground synergy,57b78004-b094-4481-8b61-0d899fac54e9,ios,2026-07-21T21:42:59
bb899413-c5af-4f34-b31a-6cde1dfc49ae,2026-05-24T05:41:45,Alexander,Dixon,carla07@example.org,456-863-1468,44.28,USD,Year End Giving,Emergency Fund,one-time,card,completed,1f47a5f8-cd2a-43db-9195-66e05d1227c7,Downtown Advanced demand-driven projection,6d16e0dc-ee69-4836-a3d1-9864f5dc344a,web,2026-05-24T05:41:45
509f3c77-e9ce-4748-8ea6-b03fe105b680,2026-09-15T06:52:50,Jacob,Heath,alecanderson@example.org,185-905-2731,123.31,USD,Year End Giving,Emergency Fund,one-time,card,completed,974b04b7-a7f6-4a48-b574-1585b4bbd270,Annual Re-contextualized intangible hierarchy,02760b46-a98f-4789-9102-afda7c3e229f,email,2026-09-15T06:52:50
f7d45031-a357-4a05-89a0-f56bf2254390,2026-05-02T14:39:10,Kiara,Mosley,stephanie30@example.org,871-062-3591,43.47,USD,Community Fundraiser,Health Fund,one-time,card,pending,f1bbe81c-a029-4cc4-b870-2cb640ac8b9c,Downtown Stand-alone client-server encoding,656aec6d-252e-47b8-b704-ef8685269745,email,2026-05-02T14:39:10
66d355dd-ed64-4c64-9cc0-f7ebf36afc38,2024-12-29T17:09:24,Elizabeth,Macias,tbecker@example.net,434-606-6643,31.65,USD,Scholarship Drive,Emergency Fund,one-time,card,completed,7c226be2-ceed-4fbd-a147-13a33c357ffe,Annual Customizable coherent product,8668a505-c23e-46c1-98a1-f6073e5cac48,ios,2024-12-29T17:09:24
3b211c94-61d0-4b45-9518-b00be8104e82,2025-12-30T04:56:36,Kelly,Hunt,tuckerjennifer@example.com,818-696-9234,35.64,USD,Year End Giving,Health Fund,one-time,card,completed,3af16c59-7dc1-4599-b6ed-b337de8d3f31,Annual Synergized regional Graphical User Interface,e1011929-8961-4df3-9053-84c8a3f0fa3f,ios,2025-12-30T04:56:36
b17716f5-6cf5-4de5-8b7f-2b4ec3039069,2024-12-25T18:57:58,Joseph,Mathews,baileyjuan@example.com,948-983-0186,34.21,USD,Year End Giving,Education Fund,one-time,card,completed,5b81365d-a389-4e64-a1da-b44a64b0cc50,Annual Intuitive 3rdgeneration database,a5f8bc84-cf87-44b2-8b04-8bffe0ce3aa1,ios,2024-12-25T18:57:58
c06004dc-c8e2-44ae-8b37-aa38c932d378,2025-03-20T05:01:24,Wendy,Gonzales,rkennedy@example.org,197-732-0360,23.46,USD,Year End Giving,General Fund,recurring,card,completed,10710d85-7ef1-41e9-bb5b-2151977d06f0,Downtown Object-based didactic knowledgebase,575f01c2-6c5a-472a-ab93-30c9de15066c,ios,2025-03-20T05:01:24
f81fa75e-d023-48c0-8607-e73bec9e8bd3,2026-08-06T14:03:16,Brittany,Carrillo,shaneblack@example.org,519-561-7655,49.83,USD,Community Fundraiser,Health Fund,one-time,card,completed,3f4e9985-6f9e-41ec-92df-47e3fc906f53,Annual Total heuristic parallelism,ed056d17-06dc-4d06-bec8-b97514ef58e6,web,2026-08-06T14:03:16
985ce100-daf9-4335-84fd-c99aeb13dc7e,2025-09-26T22:23:10,Matthew,Turner,ashley77@example.org,398-649-3544,149.71,USD,Scholarship Drive,General Fund,one-time,card,completed,1781ea10-f809-4a6f-b7f6-34ba16fcb4b4,Annual Front-line homogeneous orchestration,4c292450-327b-4fea-9409-d54e3ede663b,web,2025-09-26T22:23:10
3e9ecaf9-0145-43e9-84cd-11d207742dc3,2025-06-20T09:45:06,Christopher,Hester,joyce70@example.com,133-780-0684,12.47,USD,Year End Giving,General Fund,one-time,paypal,completed,c932489a-368a-4574-b118-4ab2e229575a,Downtown Front-line modular productivity,3cbd588c-70a3-44e1-af1b-114ac96a66f6,web,2025-06-20T09:45:06
b4e1714d-1d32-49a9-97ba-31ab805bff3c,2025-01-06T16:38:04,Daniel,Barton,rachelwalter@example.org,009-690-0418,17.68,USD,Scholarship Drive,Emergency Fund,recurring,card,completed,bbcb9e22-4fb0-42c8-8964-e57b48699691,Annual Right-sized systematic strategy,b0b2f141-2d55-40f2-8a00-a1799a97e340,android,2025-01-06T16:38:04
f07c542e-b88d-43b0-9ec9-64ae5537545f,2026-09-20T08:20:17,Danielle,Rogers,anthonysmith@example.com,235-158-5015,183.35,USD,Year End Giving,Education Fund,one-time,card,completed,d55a3d13-a5c7-4cbf-a9a6-3662382989ab,Annual Visionary 4thgeneration groupware,e266b1ee-c1d4-48a3-bfea-a395c6e8a717,ios,2026-09-20T08:20:17
687be3ca-f1d6-411f-afe5-f644a4cf1631,2025-12-11T22:24:25,Paula,Wilson,timothy64@example.net,879-876-0591,28.23,USD,Community Fundraiser,Education Fund,one-time,apple_pay,completed,ac23de31-9669-441d-9d30-418638493c7c,Downtown Operative holistic utilization,d320c1fe-8767-4809-ac97-c9c37bf9f820,android,2025-12-11T22:24:25
64cc904e-7acd-450b-ae0c-2a5d72b94b2e,2025-02-12T17:37:59,Alvin,Dillon,smills@example.org,778-626-8527,42.62,USD,Year End Giving,Emergency Fund,recurring,card,completed,5e868511-2010-4f8e-9db0-d6d761f1ddae,Live Persistent tangible framework,c3ca22c5-5fa2-4291-874e-ec1e8dd9b2b6,web,2025-02-12T17:37:59
dc73e50b-e2c7-474c-a9ed-f840bd2adbd7,2026-08-22T04:52:19,Willie,Mendez,davidhayes@example.net,902-915-4259,34.63,USD,Year End Giving,Emergency Fund,one-time,card,completed,414eeb2e-72bf-4cfb-a9f9-cc381103fdf3,Downtown Open-architected human-resource support,1be7f038-4096-4483-812d-77afb3b272e3,web,2026-08-22T04:52:19
6ed51e65-292c-4def-a070-2d2b6242b57f,2026-08-26T16:02:54,Lori,Davis,mgallagher@example.com,179-931-3656,466.91,USD,Relief Fund,Health Fund,one-time,card,completed,b091b41d-a9ec-4f80-8a23-c1de31e1a867,Live Right-sized bottom-line utilization,bb80278b-5cf7-474b-9e40-a94c6d6d7b0f,web,2026-08-26T16:02:54
9fd968a1-93db-473d-a1cf-f1c9a71da043,2026-11-20T14:06:50,Stephanie,Gutierrez,wallacewendy@example.net,342-602-7322,195.35,USD,Relief Fund,Education Fund,one-time,card,completed,78fa9bb6-b1a2-48c9-bb0c-216d1087d238,Annual Pre-emptive discrete help-desk,5febdc07-1b96-4a45-b141-530daa3532b9,onsite,2026-11-20T14:06:50
160edd85-cb8b-468c-ad90-63d14de304db,2026-07-17T11:12:57,Ann,Harrington,mooredebbie@example.com,234-847-1244,97.59,USD,Community Fundraiser,General Fund,recurring,paypal,completed,14b36300-bf52-4775-b32f-7102c7620701,Downtown Team-oriented asymmetric utilization,b139899a-2cac-465c-b357-fda18082408a,web,2026-07-17T11:12:57
a3af70b0-e4b5-4148-8089-185644a3a174,2025-06-05T04:09:19,Thomas,Robinson,wintersdarrell@example.com,396-274-6662,19.29,USD,Year End Giving,General Fund,one-time,paypal,completed,b8c0cafe-7f25-4da9-b26e-27f2ab328b2f,Annual Expanded regional structure,953c8573-0a18-45b6-a22d-0d9f21c90378,web,2025-06-05T04:09:19
3391a0f8-2e1d-485b-bcf9-b22941dd2400,2026-09-21T10:28:19,Christopher,Baker,smartin@example.net,521-010-7452,39.79,USD,Relief Fund,General Fund,recurring,card,completed,b0fe8a03-1c95-4460-9664-16d99d7365d3,Live Team-oriented non-volatile leverage,62ded555-496c-43fe-b704-b85b5cda1098,email,2026-09-21T10:28:19
386cbc0f-5e0b-4afd-917b-45f3d3fea55d,2026-08-21T02:27:30,Margaret,Marshall,chenderson@example.org,242-044-8207,552.58,USD,Scholarship Drive,Health Fund,one-time,card,completed,b28d6983-4a18-4108-a6c8-76d616e681be,Annual Decentralized zero-defect workforce,40eb681e-4d42-45eb-9a30-811da20ee012,ios,2026-08-21T02:27:30
47b8592c-0c56-49bc-9327-f7c592714844,2025-07-20T13:01:10,Steven,Wilson,nwatson@example.net,595-539-4506,101.07,USD,Year End Giving,Health Fund,one-time,card,failed,b1c375d9-7b69-47b2-aad9-f6c8c951c14c,Annual Polarized didactic initiative,0489ee1e-1592-4db3-a285-404c2d8b1198,android,2025-07-20T13:01:10
